"","CN","PLT_CN","PREV_TRE_CN","INVYR","CYCLE","STATECD","UNITCD","COUNTYCD","PLOT","SUCP","cycle_aw","SUBP","TREE","CONDID","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIACALC","DIAHTCD","HT","HTCD","AGENTCD","BHAGE","CCLCD","DECAYCD"
"1",51616544020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,3,1,NA,1,"106",23,6.3,6.3,2,19,1,NA,NA,3,NA
"2",51616543020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,2,1,NA,1,"66",23,5.8,5.8,2,14,1,NA,NA,4,NA
"3",51616545020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,4,1,NA,1,"122",11,14.7,14.7,1,46,1,NA,107,2,NA
"4",51616546020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,5,1,NA,1,"106",23,7.7,7.7,2,23,1,NA,NA,4,NA
"5",51616547020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,6,1,NA,1,"814",48,5.3,5.3,2,14,1,NA,NA,3,NA
"6",51616548020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,7,1,NA,1,"66",23,5,5,2,13,1,NA,NA,3,NA
"7",51616549020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,8,1,NA,1,"106",23,7.7,7.7,2,17,1,NA,NA,3,NA
"8",51616550020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,9,1,NA,1,"69",23,6.5,6.5,2,12,1,NA,NA,3,NA
"9",51616551020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,10,1,NA,1,"66",23,6.1,6.1,2,17,1,NA,NA,3,NA
"10",51616552020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,11,1,NA,2,"814",48,10,10,2,18,1,50,NA,NA,1
"11",51616553020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,12,1,NA,1,"814",48,5.6,5.6,2,23,1,NA,NA,3,NA
"12",51616554020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,13,1,NA,1,"814",48,6.3,6.3,2,24,1,NA,NA,3,NA
"13",51616555020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,14,1,NA,1,"814",48,7,7,2,24,1,NA,NA,3,NA
"14",51616556020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,16,1,NA,1,"66",23,5.7,5.7,2,18,1,NA,NA,2,NA
"15",51616557020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,17,1,NA,1,"814",48,6.6,6.6,2,22,1,NA,NA,2,NA
"16",51616558020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,18,1,NA,1,"814",48,6.7,6.7,2,23,1,NA,NA,2,NA
"17",51616559020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,19,1,NA,1,"66",23,6.1,6.1,2,13,1,NA,NA,3,NA
"18",51616560020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,20,1,NA,2,"122",11,NA,10,1,NA,NA,50,NA,NA,NA
"19",51616561020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,21,1,NA,2,"122",11,NA,13.4,1,NA,NA,50,NA,NA,NA
"20",51616562020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,22,1,NA,1,"106",23,6.5,6.5,2,17,1,NA,NA,3,NA
"21",51616563020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,23,1,NA,1,"66",23,1.8,1.8,2,6,1,NA,NA,5,NA
"22",51616564020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",1,24,1,NA,1,"66",23,3.6,3.6,2,8,1,NA,NA,4,NA
"23",51616565020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,1,1,NA,1,"106",23,5.6,5.6,2,13,1,NA,NA,4,NA
"24",51616566020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,2,1,NA,1,"66",23,5.1,5.1,2,13,1,NA,NA,3,NA
"25",51616567020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,3,1,NA,1,"106",23,6.9,6.9,2,23,1,NA,NA,3,NA
"26",51616568020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,4,1,NA,1,"106",23,6.9,6.9,2,20,1,NA,NA,3,NA
"27",51616569020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,6,1,NA,1,"106",23,7.3,7.3,2,24,1,NA,NA,3,NA
"28",51616570020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,7,1,NA,1,"122",11,18.1,18.1,1,46,1,NA,141,2,NA
"29",51616571020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,8,1,NA,1,"66",23,5.6,5.6,2,15,1,NA,NA,4,NA
"30",51616572020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,9,1,NA,1,"106",23,5.4,5.4,2,18,1,NA,NA,3,NA
"31",51616573020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,10,1,NA,1,"814",48,6.3,6.3,2,19,1,NA,NA,3,NA
"32",51616576020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,13,1,NA,1,"814",48,6.3,6.3,2,19,1,NA,NA,4,NA
"33",51616574020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,11,1,NA,1,"814",48,5.4,5.4,2,20,1,NA,NA,3,NA
"34",51616575020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,12,1,NA,1,"106",23,9.5,9.5,2,24,1,NA,NA,3,NA
"35",51616577020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,14,1,NA,1,"66",23,6.9,6.9,2,14,1,NA,NA,3,NA
"36",51616578020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,16,1,NA,1,"814",48,1.1,1.1,2,3,1,NA,NA,5,NA
"37",51616579020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,17,1,NA,1,"106",23,4.4,4.4,2,12,1,NA,NA,4,NA
"38",51616581020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,2,1,NA,2,"814",48,12.2,12.2,2,24,1,NA,NA,NA,2
"39",51616582020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,3,1,NA,1,"66",23,24.1,24.1,2,34,1,NA,NA,2,NA
"40",51616583020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,5,1,NA,1,"66",23,10.6,10.6,2,32,1,NA,NA,3,NA
"41",51616584020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,6,1,NA,1,"106",23,6.6,6.6,2,22,1,NA,NA,3,NA
"42",51616585020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,7,1,NA,2,"814",48,5.3,5.3,2,16,1,60,NA,NA,1
"43",51616586020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,8,1,NA,2,"814",48,5.2,5.2,2,14,1,60,NA,NA,2
"44",51616587020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,10,1,NA,1,"106",23,6.4,6.4,2,21,1,NA,NA,3,NA
"45",51616588020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,11,1,NA,1,"106",23,6.9,6.9,2,21,1,NA,NA,2,NA
"46",51616589020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,12,1,NA,1,"106",23,6.2,6.2,2,19,1,NA,NA,3,NA
"47",51616590020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,27,1,NA,1,"814",48,1.6,1.6,2,6,1,NA,NA,5,NA
"48",51616591020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,28,1,NA,1,"814",48,3,3,2,16,1,NA,NA,3,NA
"49",51616592020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,29,1,NA,1,"814",48,2.9,2.9,2,12,1,NA,NA,3,NA
