"","SUCP","STATECD","SPCD","cycle_aw","STATUSCD","SizeClass","Treecount","ExpanFactor","TPA","DSTRBCD1","DSTRBYR1","Fire"
"1","35_1_1_87028","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"2","35_1_1_87028","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"3","35_1_31_84752","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"4","35_1_31_84752","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"5","35_1_31_91941","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"6","35_1_31_91941","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"7","35_1_31_92736","NewMexico",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"0"
"8","35_1_31_92736","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"9","35_1_39_82509","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"10","35_1_39_82509","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"11","35_1_39_84260","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"12","35_1_39_84260","NewMexico",122,"2",1,"A",1,74.96528,74.96528,"1",2015,"1"
"13","35_1_39_84992","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"14","35_1_39_84992","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"15","35_1_39_86808","NewMexico",122,"1",1,"A",7,74.96528,524.75696,NA,NA,"0"
"16","35_1_39_86808","NewMexico",122,"2",1,"A",6,74.96528,449.79168,NA,NA,"0"
"17","35_1_39_87276","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"18","35_1_39_87276","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"19","35_1_39_88009","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"20","35_1_39_88009","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"21","35_1_39_88290","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
